symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,super_inflow,super_outflow,super_net_inflow,big_inflow,big_outflow,big_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,super_net_flow_ratio,big_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0473,2026-04-01T00:00:00Z,13879517,13866954,13897450,13771532,13707075,159879,1.17,17788045,19787822834,0.67,0.93,0.00,0,9346726,8441319,3428810224000,2913810720000,706661584,3237647888,2714554176,523093712,5295563264,5111995392,183567872,5701978624,6161910784,-459932160,5034746880,5281476352,-246729472,3.57,2.64,0.93,-2.32,-1.25,0,49,48,0,1,0,0,14.88,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:54.233406+08:00
BK0474,2026-04-01T00:00:00Z,137936,138858,139052,137236,135595,3263,2.41,2432046,8004950929,0.32,0.95,0.00,0,1318591,1113454,2994252272000,2049291104000,362073696,1653261968,1278609520,374652448,2028434080,2041012832,-12578752,2270822208,2336101840,-65279632,1846493728,2143287808,-296794080,4.52,4.68,-0.16,-0.82,-3.71,0,5,5,0,0,0,0,7.04,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.400499+08:00
BK0475,2026-04-01T00:00:00Z,416916,415546,419543,414680,415570,-24,-0.01,36658318,26944637297,0.28,1.05,0.00,0,15963243,20695075,15149747200000,10108819712000,85970944,5357600256,5218725120,138875136,6887009792,6939913984,-52904192,7360885248,7496577792,-135692544,6771329024,6721607424,49721600,0.32,0.52,-0.20,-0.50,0.18,0,42,18,18,6,0,0,6.95,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.504611+08:00
BK0476,2026-04-01T00:00:00Z,1694941,1682222,1699392,1670575,1666819,15403,0.92,2852010,3093821109,1.37,0.81,0.00,0,1384284,1467727,292411552000,260369415000,8631090,109447823,116176029,-6728206,598179744,582820448,15359296,1053569488,1011256400,42313088,1259031680,1312240224,-53208544,0.28,-0.22,0.50,1.37,-1.72,0,37,26,7,4,0,0,70.15,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:51.966882+08:00
BK0477,2026-04-01T00:00:00Z,4332319,4345552,4359428,4295741,4297760,47792,1.11,3069721,12449479067,1.00,1.26,0.00,0,1583418,1486303,3153043472000,3056373200000,412250176,1888283568,1695151936,193131632,3324930064,3105811520,219118544,4366672128,4542486272,-175814144,2511631600,2748067696,-236436096,3.31,1.55,1.76,-1.41,-1.90,0,39,35,4,0,0,0,18.32,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.960656+08:00
BK0478,2026-04-01T00:00:00Z,2835106,2818600,2837316,2791617,2779371,39229,1.41,61028078,137020609657,2.70,0.98,0.00,0,30383573,30644506,6083416832000,4799502848000,1644459776,21086507264,19652584448,1433922816,33996232960,33785696000,210536960,40443132672,40593526016,-150393344,37308907264,38852682240,-1543774976,1.20,1.05,0.15,-0.11,-1.13,0,143,110,30,3,0,0,28.50,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:52.376681+08:00
BK0479,2026-04-01T00:00:00Z,939648,939064,942950,934105,926251,12813,1.38,29552551,11758268732,1.49,1.14,0.00,0,16018158,13534393,1049868688000,949079312000,974445728,2338407264,1271054448,1067352816,2705938064,2798845152,-92907088,2990750912,3545212896,-554461984,3502279568,3922263312,-419983744,8.29,9.08,-0.79,-4.72,-3.57,0,46,40,3,3,0,0,80.68,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.80064+08:00
BK0480,2026-04-01T00:00:00Z,6175040,6093225,6179584,6059091,6085510,7715,0.13,6665646,22084508025,1.75,0.94,0.00,0,3049594,3616052,1457714976000,1135659632000,-1043097152,2030520864,2671124320,-640603456,5137801472,5540295168,-402493696,7222837248,7152027136,70810112,7081582336,6160026368,921555968,-4.72,-2.90,-1.82,0.32,4.17,0,49,29,19,1,0,0,156.24,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.717443+08:00
BK0481,2026-04-01T00:00:00Z,4936094,4943144,4951423,4903807,4860335,82809,1.70,28817446,51404600276,2.07,0.99,0.00,0,14175869,14641577,2865029392000,2283488032000,405472752,4647569920,4291973392,355596528,11340962048,11291085824,49876224,16384642304,16913449216,-528806912,17559302144,17533107200,26194944,0.79,0.69,0.10,-1.03,0.05,0,271,239,29,3,0,0,28.62,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:53.533094+08:00
BK0482,2026-04-01T00:00:00Z,1794142,1782090,1799177,1770369,1772614,9476,0.53,10311861,5481487361,1.19,0.92,0.00,0,5391429,4920433,509250992000,473367232000,-93123600,421322160,405234960,16087200,999889440,1109100240,-109210800,1610716272,1647657024,-36940752,2282707232,2152642880,130064352,-1.70,0.29,-1.99,-0.67,2.37,0,60,42,14,4,0,0,-19.24,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-04-01T16:34:54.586531+08:00
