symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,xlarge_inflow,xlarge_outflow,xlarge_net_inflow,large_inflow,large_outflow,large_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,xlarge_net_flow_ratio,large_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0625,2026-08-04T00:00:00Z,522434,523053,524096,517610,520859,2194,0.42,11513174,10963839750,1.30,1.04,0.00,0,5130228,6382946,883011440000,748229344000,-28399024,824344160,904016896,-79672736,2427506976,2376233264,51273712,3585454656,3388093760,197360896,3937091952,4105974800,-168882848,-0.26,-0.73,0.47,1.80,-1.54,0,36,15,21,0,0,0,-53.35,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0628,2026-08-04T00:00:00Z,513945,525671,526552,513575,510536,15135,2.96,62533693,83236422928,3.37,1.03,0.00,0,33378504,29155189,2558682976000,2350449760000,3967367424,11442075648,8518056448,2924019200,19366790400,18323442176,1043348224,25325427456,26782890496,-1457463040,25166162432,27550252288,-2384089856,4.77,3.51,1.25,-1.75,-2.86,0,217,183,30,4,0,0,101.29,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0629,2026-08-04T00:00:00Z,595257,606184,607531,592894,591815,14369,2.43,18563134,25073753018,1.84,1.11,0.00,0,9045420,9517714,1157216912000,982784896000,1089041008,2445092640,1648988336,796104304,5494618368,5201681664,292936704,7763790080,8234242816,-470452736,8863508736,9468344832,-604836096,4.34,3.18,1.17,-1.88,-2.41,0,75,62,11,2,0,0,117.38,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0632,2026-08-04T00:00:00Z,161524,161351,162151,160143,161432,-81,-0.05,12227415,6070212444,1.62,0.96,0.00,0,6032740,6194675,385441296000,342245808000,-73361984,311269504,381489072,-70219568,1292396480,1295538896,-3142416,1924052304,1883405840,40646464,2422468560,2389753024,32715536,-1.21,-1.16,-0.05,0.67,0.54,0,44,16,24,4,0,0,-71.08,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0634,2026-08-04T00:00:00Z,489214,499076,500287,489130,485608,13468,2.77,105194421,189208966166,3.10,1.06,0.00,0,54089405,51105016,5892089088000,5537678848000,8619558656,29387397888,22836990208,6550407680,46386732800,44317581824,2069150976,57551780352,60967822848,-3416042496,52276926208,57452523520,-5175597312,4.56,3.46,1.09,-1.81,-2.74,0,295,248,42,5,0,0,52.01,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0636,2026-08-04T00:00:00Z,89014,89049,89084,88696,88864,185,0.21,555261,103860815,0.21,1.09,0.00,0,265320,289941,679847152000,108748116000,-6388569,0,2763277,-2763277,20638522,24263814,-3625292,38992501,40704105,-1711604,41465481,33365308,8100173,-6.15,-2.66,-3.49,-1.65,7.80,0,79,37,24,18,0,0,27.49,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0637,2026-08-04T00:00:00Z,499197,500031,501434,497653,498089,1942,0.39,108379548,116924816489,0.65,0.96,0.00,0,47644339,60735209,20598543360000,14502100992000,-3419085824,15483364608,17878814208,-2395449600,27928220416,28951856640,-1023636224,35842911232,35310149632,532761600,35388204288,32493337600,2894866688,-2.92,-2.05,-0.88,0.46,2.48,0,191,90,94,7,0,0,8.38,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0638,2026-08-04T00:00:00Z,230635,237525,238538,229924,228340,9185,4.02,44203367,305124249109,3.65,1.06,0.00,0,22866360,21337007,10205706240000,8644109056000,21269266688,72352313344,55727275776,16625037568,87081213952,82436984832,4644229120,88691232768,104028778496,-15337545728,51740375808,57672093696,-5931717888,6.97,5.45,1.52,-5.03,-1.94,0,100,81,19,0,0,0,43.67,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0641,2026-08-04T00:00:00Z,374275,384772,386159,371937,371247,13525,3.64,53249777,148180968515,3.75,0.94,0.00,0,29651575,23598203,3793743872000,3451613344000,8553103104,28089893376,21108020224,6981873152,38194520064,36623290112,1571229952,44208767744,47896470016,-3687702272,34796992768,39643691520,-4846698752,5.77,4.71,1.06,-2.49,-3.27,0,129,113,15,1,0,0,49.08,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
BK0643,2026-08-04T00:00:00Z,320524,322797,323624,319591,319653,3144,0.98,5432133,10661750135,0.77,0.89,0.00,0,2573385,2858748,933802928000,758924256000,420750032,1296512112,1082509440,214002672,2615740864,2408993504,206747360,3742996944,3996780864,-253783920,2843317920,3010284048,-166966128,3.95,2.01,1.94,-2.38,-1.57,0,35,17,17,1,0,0,24.67,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-08-04T16:42:36+08:00
